`Code point`,`Rank 1`,`Rank 2`,`Unicode name`,`WP43 usage`,`Glyph`,`Replacement`,`Code point`
`U+0118`,121,141,`LATIN CAPITAL LETTER E WITH OGONEK`,`E ogonek`,`Ę`,`E`,`U+0045`
`U+0119`,121,142,`LATIN SMALL LETTER E WITH OGONEK`,`e ogonek`,`ę`,`E`,`U+0045`
`U+011a`,121,143,`LATIN CAPITAL LETTER E WITH CARON`,`E caron`,`Ě`,`E`,`U+0045`
`U+011b`,121,144,`LATIN SMALL LETTER E WITH CARON`,`e caron`,`ě`,`E`,`U+0045`
`U+011e`,152,158,`LATIN CAPITAL LETTER G WITH BREVE`,`G breve`,`Ğ`,`G`,`U+0047`
`U+011f`,152,159,`LATIN SMALL LETTER G WITH BREVE`,`g breve`,`ğ`,`G`,`U+0047`
`U+0127`,160,167,`LATIN SMALL LETTER H WITH STROKE`,`h stroke`,`ħ`,`H`,`U+0048`
`U+012a`,169,183,`LATIN CAPITAL LETTER I WITH MACRON`,`I macron`,`Ī`,`I`,`U+0049`
`U+012b`,169,184,`LATIN SMALL LETTER I WITH MACRON`,`i macron`,`ī`,`I`,`U+0049`
`U+012c`,169,185,`LATIN CAPITAL LETTER I WITH BREVE`,`I breve`,`Ĭ`,`I`,`U+0049`
`U+012d`,169,186,`LATIN SMALL LETTER I WITH BREVE`,`i breve`,`ĭ`,`I`,`U+0049`
`U+012e`,169,187,`LATIN CAPITAL LETTER I WITH OGONEK`,`I ogonek`,`Į`,`I`,`U+0049`
`U+012f`,169,188,`LATIN SMALL LETTER I WITH OGONEK`,`i ogonek`,`į`,`I`,`U+0049`
`U+0130`,169,189,`LATIN CAPITAL LETTER I WITH DOT ABOVE`,`I dot`,`İ`,`I`,`U+0049`
`U+0131`,169,190,`LATIN SMALL LETTER DOTLESS I`,`i dotless`,`ı`,`I`,`U+0049`
`U+0139`,203,209,`LATIN CAPITAL LETTER L WITH ACUTE`,`L accute`,`Ĺ`,`L`,`U+004C`
`U+013a`,203,210,`LATIN SMALL LETTER L WITH ACUTE`,`l accute`,`ĺ`,`L`,`U+004C`
`U+013d`,203,211,`LATIN CAPITAL LETTER L WITH CARON`,`L apostrophe`,`Ľ`,`L`,`U+004C`
`U+013e`,203,212,`LATIN SMALL LETTER L WITH CARON`,`l apostrophe`,`ľ`,`L`,`U+004C`
`U+0141`,203,213,`LATIN CAPITAL LETTER L WITH STROKE`,`L stroke`,`Ł`,`L`,`U+004C`
